"id","code","serial_id","national_registration_code","foreign_id_code","name","middle_name","surname","name_reading","middle_name_reading","surname_reading","gender","birth_date","admitted","graduated","enrollment_status_code","primary_address","primary_contact","class_and_number","user_id","faculty_id","commute_method_type_id","scholarship_status_id"
851,"**-****-00851",851,,851,"Enoch","Darren","Ferry",,,,0,"2013-05-24",,,"applicant",,,,,,,1
254,"**-****-00254",254,,254,"Karlee","Alan","Berge",,,,0,"2013-05-27",,,"admitted","Nagoya, 31717 Rolfson Shores","Email: aniyah.bahringer@pfeffer.info",,,,,1
852,"**-****-00852",852,,852,"Jarret","Corene","Erdman",,,,1,"2011-09-25",,,"applicant",,,,,,,1
1,"**-****-00001",1,,1,"John",,"Doe",,,,0,"1983-10-05",,,"admitted","Nagoya, 3412 Hudson Field","Email: judd@langosh.co.uk",,,,,1
255,"**-****-00255",255,,255,"Tiffany","Dedrick","Mayer",,,,1,"2013-01-04",,,"admitted","Nagoya, 70493 Merlin Meadow","Email: raheem@jacobi.info",,,,,1
256,"**-****-00256",256,,256,"Greta","Nettie","Emmerich",,,,1,"2012-03-16",,,"admitted","Nagoya, 43353 Gail Dam","Email: jeffry_gerhold@becker.com",,,,,1
853,"**-****-00853",853,,853,"Ivy","Alda","Trantow",,,,1,"2012-02-06",,,"applicant",,,,,,,1
854,"**-****-00854",854,,854,"Esmeralda","Vada","Bergnaum",,,,1,"2014-02-28",,,"applicant",,,,,,,1
855,"**-****-00855",855,,855,"Ericka","Jennyfer","Thompson",,,,1,"2013-10-19",,,"applicant",,,,,,,1
257,"**-****-00257",257,,257,"Else","Shaina","Bayer",,,,,"2013-07-12",,,"admitted","Nagoya, 52948 Wiegand Route","Email: kadin@hodkiewicz.ca",,,,,1
856,"**-****-00856",856,,856,"Pearline","Ilene","Altenwerth",,,,0,"2014-01-22",,,"applicant",,,,,,,1
857,"**-****-00857",857,,857,"Ottilie","Giovani","Gaylord",,,,,"2014-04-01",,,"applicant",,,,,,,1
858,"**-****-00858",858,,858,"Kadin","Kassandra","Smith",,,,,"2012-06-26",,,"applicant",,,,,,,1
859,"**-****-00859",859,,859,"Ona","Beryl","Jewess",,,,1,"2011-11-17",,,"applicant",,,,,,,1
258,"**-****-00258",258,,258,"Jayda","Weldon","Kris",,,,0,"2014-05-02",,,"admitted","Nagoya, 59860 Darron Stravenue","Email: gia_brown@wunschdeckow.ca",,,,,1
860,"**-****-00860",860,,860,"Audrey","Amelia","Reynolds",,,,0,"2014-03-21",,,"applicant",,,,,,,1
861,"**-****-00861",861,,861,"Linnea","Hassan","Satterfield",,,,,"2013-05-31",,,"applicant",,,,,,,1
862,"**-****-00862",862,,862,"Maida","Collin","Kutch",,,,,"2014-04-28",,,"applicant",,,,,,,1
863,"**-****-00863",863,,863,"Javier","Efrain","Bernier",,,,,"2012-10-14","2014-04-01",,"applicant",,,,,,,1
864,"**-****-00864",864,,864,"Albert","Jaida","VonRueden",,,,,"2012-08-05","2014-04-01",,"applicant",,,,,,,1
865,"**-****-00865",865,,865,"Gloria","Benjamin","Leannon",,,,,"2013-04-29","2014-04-01",,"applicant",,,,,,,1
866,"**-****-00866",866,,866,"Kenya","Kattie","Bernier",,,,,"2012-01-13","2014-04-01",,"applicant",,,,,,,1
867,"**-****-00867",867,,867,"Giovanni","Dora","O'Kon",,,,,"2013-10-16","2014-04-01",,"applicant",,,,,,,1
868,"**-****-00868",868,,868,"Valentine","Jaclyn","Schuster",,,,,"2012-05-24","2014-04-01",,"applicant",,,,,,,1
259,"**-****-00259",259,,259,"Ned","Logan","Runolfsdottir",,,,,"2014-04-27",,,"admitted","Nagoya, 066 Annetta Hills","Email: hector_wiza@okunevajohnson.ca",,,,,1
869,"**-****-00869",869,,869,"Aubrey","Mariane","Halvorson",,,,,"2013-07-28",,,"applicant",,,,,,,1
870,"**-****-00870",870,,870,"Rebeka","Maymie","Hudson",,,,,"2013-04-12",,,"applicant",,,,,,,1
871,"**-****-00871",871,,871,"Major","Augustus","O'Connell",,,,,"2011-11-30",,,"applicant",,,,,,,1
872,"**-****-00872",872,,872,"Delia","Clifton","King",,,,,"2013-10-04",,,"applicant",,,,,,,1
260,"**-****-00260",260,,260,"Delphia","Deshaun","Ziemann",,,,,"2012-10-09",,,"admitted","Nagoya, 1596 Murphy Rapid","Email: linda@wiza.name",,,,,1
873,"**-****-00873",873,,873,"Grace","Wilburn","Murphy",,,,,"2011-11-21",,,"applicant",,,,,,,1
874,"**-****-00874",874,,874,"Nyasia","Janae","Dickinson",,,,,"2011-11-29",,,"applicant",,,,,,,1
875,"**-****-00875",875,,875,"Princess","Eddie","Waters",,,,,"2012-04-28",,,"applicant",,,,,,,1
876,"**-****-00876",876,,876,"Eusebio","Sonia","Nader",,,,,"2012-01-07",,,"applicant",,,,,,,1
877,"**-****-00877",877,,877,"Bernice","Nolan","Leannon",,,,,"2012-09-08",,,"applicant",,,,,,,1
261,"**-****-00261",261,,261,"Gardner","Ben","Donnelly",,,,,"2013-02-16",,,"admitted","Nagoya, 9556 Rosalia Branch","Email: roberta_renner@watsica.com",,,,,1
878,"**-****-00878",878,,878,"Doug","Yadira","Tromp",,,,,"2014-02-25",,,"applicant",,,,,,,1
879,"**-****-00879",879,,879,"Daron","Eleanore","Bailey",,,,,"2013-01-08",,,"applicant",,,,,,,1
880,"**-****-00880",880,,880,"Eleonore","Bonita","Lebsack",,,,,"2012-12-04",,,"applicant",,,,,,,1
881,"**-****-00881",881,,881,"Richie","Bailee","Grant",,,,,"2012-10-09",,,"applicant",,,,,,,1
882,"**-****-00882",882,,882,"Zaria","Maiya","Ratke",,,,,"2013-04-15",,,"applicant",,,,,,,1
883,"**-****-00883",883,,883,"Rudy","Kaitlyn","Jacobson",,,,,"2012-12-14",,,"applicant",,,,,,,1
884,"**-****-00884",884,,884,"Hipolito","Autumn","Reichel",,,,,"2013-12-17",,,"applicant",,,,,,,1
885,"**-****-00885",885,,885,"Della","Gerhard","Schiller",,,,,"2012-12-09",,,"applicant",,,,,,,1
262,"**-****-00262",262,,262,"Casper","Raul","Jacobi",,,,,"2011-11-23",,,"admitted","Nagoya, 997 Hauck Shoals","Email: nick.little@thompson.ca",,,,,1
886,"**-****-00886",886,,886,"Garrick","Geovany","Kihn",,,,,"2012-03-26",,,"applicant",,,,,,,1
887,"**-****-00887",887,,887,"Roberta","Verda","Casper",,,,,"2012-09-14",,,"applicant",,,,,,,1
888,"**-****-00888",888,,888,"Brenden","Viviane","Williamson",,,,,"2012-04-25",,,"applicant",,,,,,,1
889,"**-****-00889",889,,889,"Noemi","Derek","Wuckert",,,,,"2012-01-28",,,"applicant",,,,,,,1
890,"**-****-00890",890,,890,"Barbara","Manley","Langworth",,,,,"2012-07-19",,,"applicant",,,,,,,1
263,"**-****-00263",263,,263,"Justen","Otto","Koelpin",,,,,"2013-06-22",,,"admitted","Nagoya, 833 Jaclyn Causeway","Email: sandrine@kuhic.info",,,,,1
891,"**-****-00891",891,,891,"Murl","Sam","Lang",,,,,"2012-08-03",,,"applicant",,,,,,,1
892,"**-****-00892",892,,892,"Kassandra","Elza","Nitzsche",,,,,"2012-05-23",,,"applicant",,,,,,,1
893,"**-****-00893",893,,893,"Cassidy","Jeramie","White",,,,,"2013-12-19",,,"applicant",,,,,,,1
894,"**-****-00894",894,,894,"Dina","Verna","Miller",,,,,"2012-02-19",,,"applicant",,,,,,,1
895,"**-****-00895",895,,895,"Sunny","Ismael","Marquardt",,,,,"2013-11-27",,,"applicant",,,,,,,1
896,"**-****-00896",896,,896,"Leta","Maia","Konopelski",,,,,"2012-06-03",,,"applicant",,,,,,,1
